ID,Label
1,Health
2,Environment
3,Fashion
4,Education
5,Technology
6,Education
7,Environment
8,Environment
9,Technology
10,Education
11,Health
12,Health
13,Health
14,Environment
15,Finance
16,Health
17,Health
18,Environment
19,Fashion
20,Education
21,Fashion
22,Environment
23,Environment
24,Food
25,Education
26,Health
27,Politics
28,Finance
29,Finance
30,Health
31,Food
32,Education
33,Health
34,Education
35,Health
36,Food
37,Health
38,Education
39,Environment
40,Education
41,Food
42,Finance
43,Health
44,Environment
45,Finance
46,Finance
47,Food
48,Environment
49,Technology
50,Technology
51,Health
52,Technology
53,Technology
54,Health
55,Technology
56,Health
57,Politics
58,Education
59,Fashion
60,Food
61,Health
62,Health
63,Health
64,Technology
65,Technology
66,Food
67,Education
68,Environment
69,Finance
70,Education
71,Technology
72,Health
73,Education
74,Health
75,Technology
76,Finance
77,Fashion
78,Finance
79,Food
80,Health
81,Technology
82,Finance
83,Technology
84,Technology
85,Health
86,Finance
87,Environment
88,Health
89,Education
90,Health
91,Education
92,Finance
93,Health
94,Technology
95,Technology
96,Environment
97,Environment
98,Environment
99,Education
100,Environment
101,Health
102,Health
103,Finance
104,Environment
105,Environment
106,Finance
107,Education
108,Food
109,Health
110,Health
111,Health
112,Technology
113,Education
114,Technology
115,Technology
116,Education
117,Politics
118,Technology
119,Health
120,Health
121,Health
122,Health
123,Fashion
124,Health
125,Finance
126,Food
127,Education
128,Education
129,Health
130,Health
131,Health
132,Environment
133,Environment
134,Health
135,Finance
136,Education
137,Health
138,Health
139,Food
140,Finance
141,Finance
142,Education
143,Technology
144,Technology
145,Technology
146,Environment
147,Education
148,Fashion
149,Finance
150,Food
151,Technology
152,Food
153,Technology
154,Environment
155,Finance
156,Health
157,Food
158,Technology
159,Technology
160,Health
161,Finance
162,Health
163,Food
164,Technology
165,Technology
166,Environment
167,Technology
168,Technology
169,Health
170,Environment
171,Fashion
172,Food
173,Environment
174,Health
175,Food
176,Health
177,Food
178,Environment
179,Politics
180,Health
181,Health
182,Environment
183,Technology
184,Food
185,Fashion
186,Technology
187,Technology
188,Food
189,Education
190,Health
191,Technology
192,Education
193,Environment
194,Health
195,Environment
196,Education
197,Health
198,Fashion
199,Health
200,Technology
201,Health
202,Finance
203,Health
204,Health
205,Food
206,Food
207,Food
208,Finance
209,Food
210,Environment
211,Politics
212,Politics
213,Food
214,Finance
215,Finance
216,Education
217,Politics
218,Education
219,Food
220,Finance
221,Technology
222,Education
223,Environment
224,Technology
225,Health
226,Fashion
227,Education
228,Technology
229,Food
230,Health
231,Health
232,Education
233,Finance
234,Health
235,Health
236,Environment
237,Health
238,Health
239,Health
240,Fashion
241,Finance
242,Technology
243,Fashion
244,Health
245,Health
246,Health
247,Fashion
248,Health
249,Health
250,Health
251,Finance
252,Finance
253,Finance
254,Education
255,Education
256,Health
257,Finance
258,Education
259,Food
260,Finance
261,Environment
262,Finance
263,Finance
264,Environment
265,Politics
266,Fashion
267,Fashion
268,Health
269,Health
270,Education
271,Education
272,Finance
273,Politics
274,Finance
275,Finance
276,Education
277,Food
278,Technology
279,Technology
280,Politics
281,Health
282,Health
283,Finance
284,Finance
285,Health
286,Education
287,Health
288,Health
289,Health
290,Food
291,Technology
292,Technology
293,Finance
294,Health
295,Food
296,Environment
297,Food
298,Politics
299,Environment
300,Education
301,Fashion
302,Food
303,Education
304,Health
305,Technology
306,Education
307,Finance
308,Education
309,Finance
310,Food
311,Fashion
312,Health
313,Food
314,Health
315,Technology
316,Finance
317,Technology
318,Finance
319,Environment
320,Environment
321,Health
322,Fashion
323,Food
324,Finance
325,Technology
326,Finance
327,Environment
328,Technology
329,Technology
330,Education
331,Education
332,Education
333,Environment
334,Finance
335,Food
336,Politics
337,Food
338,Health
339,Finance
340,Technology
341,Food
342,Education
343,Education
344,Food
345,Health
346,Food
347,Technology
348,Education
349,Technology
350,Food
351,Health
352,Food
353,Health
354,Health
355,Health
356,Finance
357,Health
358,Health
359,Environment
360,Finance
361,Food
362,Technology
363,Finance
364,Health
365,Health
366,Technology
367,Food
368,Education
369,Health
370,Environment
371,Technology
372,Fashion
373,Health
374,Education
375,Environment
376,Education
377,Finance
378,Finance
379,Education
380,Health
381,Fashion
382,Health
383,Fashion
384,Environment
385,Finance
386,Health
387,Technology
388,Environment
389,Education
390,Food
391,Food
392,Health
393,Environment
394,Fashion
395,Finance
396,Health
397,Food
398,Health
399,Food
400,Finance
401,Fashion
402,Health
403,Technology
404,Health
405,Education
406,Health
407,Health
408,Health
409,Health
410,Environment
411,Technology
412,Environment
413,Health
414,Technology
415,Environment
416,Technology
417,Health
418,Finance
419,Health
420,Education
421,Environment
422,Health
423,Health
424,Education
425,Health
426,Health
427,Technology
428,Education
429,Food
430,Education
431,Health
432,Politics
433,Health
434,Education
435,Health
436,Technology
437,Health
438,Health
439,Education
440,Technology
441,Environment
442,Fashion
443,Education
444,Environment
445,Environment
446,Education
447,Health
448,Finance
449,Technology
450,Technology
451,Health
452,Education
453,Fashion
454,Technology
455,Food
456,Education
457,Finance
458,Education
459,Health
460,Environment
461,Finance
462,Environment
463,Technology
464,Health
465,Health
466,Technology
467,Education
468,Food
469,Finance
470,Health
471,Technology
472,Health
473,Fashion
474,Environment
475,Finance
476,Environment
477,Food
478,Fashion
479,Fashion
480,Fashion
481,Health
482,Technology
483,Fashion
484,Technology
485,Finance
486,Technology
487,Finance
488,Education
489,Fashion
490,Finance
491,Finance
492,Health
493,Education
494,Health
495,Education
496,Food
497,Environment
498,Environment
499,Health
500,Technology
501,Health
502,Food
503,Education
504,Technology
505,Health
506,Health
507,Technology
508,Finance
509,Technology
510,Fashion
511,Finance
512,Fashion
513,Education
514,Education
515,Education
516,Finance
517,Environment
518,Education
519,Environment
520,Environment
521,Finance
522,Education
523,Environment
524,Food
525,Health
526,Education
527,Environment
528,Health
529,Finance
530,Technology
531,Finance
532,Health
533,Environment
534,Finance
535,Food
536,Fashion
537,Technology
538,Food
539,Health
540,Environment
541,Food
542,Technology
543,Technology
544,Technology
545,Health
546,Finance
547,Environment
548,Health
549,Health
550,Technology
551,Finance
552,Education
553,Education
554,Education
555,Environment
556,Finance
557,Education
558,Technology
559,Fashion
560,Education
561,Technology
562,Technology
563,Health
564,Finance
565,Fashion
566,Education
567,Health
568,Food
569,Education
570,Politics
571,Finance
572,Technology
573,Health
574,Environment
575,Fashion
576,Fashion
577,Food
578,Education
579,Finance
580,Health
581,Health
582,Education
583,Technology
584,Food
585,Finance
586,Finance
587,Health
588,Politics
589,Health
590,Education
591,Politics
592,Finance
593,Finance
594,Food
595,Education
596,Technology
597,Environment
598,Finance
599,Health
600,Environment
601,Education
602,Education
603,Fashion
604,Finance
605,Finance
606,Technology
607,Health
608,Health
609,Environment
610,Fashion
611,Food
612,Health
613,Environment
614,Environment
615,Health
616,Finance
617,Finance
618,Health
619,Environment
620,Food
621,Finance
622,Environment
623,Environment
624,Health
625,Health
626,Finance
627,Technology
628,Education
629,Health
630,Education
631,Health
632,Environment
633,Education
634,Health
635,Environment
636,Fashion
637,Finance
638,Health
639,Finance
640,Health
641,Environment
642,Environment
643,Health
644,Finance
645,Technology
646,Health
647,Fashion
648,Technology
649,Food
650,Environment
651,Environment
652,Technology
653,Technology
654,Environment
655,Politics
656,Environment
657,Technology
658,Food
659,Technology
660,Technology
661,Finance
662,Environment
663,Food
664,Technology
665,Environment
666,Technology
667,Technology
668,Health
669,Technology
670,Health
671,Food
672,Finance
673,Technology
674,Fashion
675,Health
676,Finance
677,Technology
678,Health
679,Health
680,Technology
681,Finance
682,Health
683,Food
684,Health
685,Food
686,Finance
687,Education
688,Technology
689,Health
690,Politics
691,Health
692,Health
693,Environment
694,Health
695,Health
696,Education
697,Technology
698,Health
699,Technology
700,Technology
701,Technology
702,Food
703,Finance
704,Technology
705,Technology
706,Food
707,Environment
708,Environment
709,Technology
710,Finance
711,Fashion
712,Finance
713,Environment
714,Technology
715,Finance
716,Technology
717,Education
718,Finance
719,Health
720,Finance
721,Health
722,Technology
723,Environment
724,Environment
725,Health
726,Health
727,Health
728,Environment
729,Health
730,Health
731,Education
732,Environment
733,Finance
734,Fashion
735,Fashion
736,Finance
737,Technology
738,Finance
739,Fashion
740,Finance
741,Finance
742,Finance
743,Education
744,Health
745,Politics
746,Education
747,Environment
748,Food
749,Environment
750,Finance
751,Health
752,Fashion
753,Fashion
754,Health
755,Food
756,Education
757,Finance
758,Environment
759,Health
760,Finance
761,Health
762,Health
763,Technology
764,Environment
765,Finance
766,Finance
767,Technology
768,Health
769,Fashion
770,Environment
771,Politics
772,Health
773,Finance
774,Food
775,Environment
776,Food
777,Technology
778,Finance
779,Finance
780,Health
781,Health
782,Food
783,Environment
784,Finance
785,Environment
786,Technology
787,Education
788,Finance
789,Finance
790,Health
791,Technology
792,Politics
793,Environment
794,Health
795,Environment
796,Politics
797,Technology
798,Education
799,Health
800,Food
801,Education
802,Environment
803,Technology
804,Education
805,Technology
806,Health
807,Politics
808,Health
809,Health
810,Fashion
811,Environment
812,Technology
813,Technology
814,Technology
815,Food
816,Technology
817,Environment
818,Health
819,Technology
820,Food
821,Health
822,Technology
823,Finance
824,Technology
825,Health
826,Health
827,Health
828,Health
829,Health
830,Fashion
831,Technology
832,Education
833,Finance
834,Health
835,Fashion
836,Technology
837,Technology
838,Finance
839,Health
840,Technology
841,Education
842,Health
843,Education
844,Health
845,Finance
846,Finance
847,Finance
848,Environment
849,Education
850,Food
851,Technology
852,Technology
853,Health
854,Finance
855,Finance
856,Finance
857,Food
858,Health
859,Finance
860,Technology
861,Technology
862,Fashion
863,Environment
864,Finance
865,Health
866,Fashion
867,Finance
868,Technology
869,Finance
870,Technology
871,Technology
872,Fashion
873,Food
874,Health
875,Education
876,Health
877,Technology
878,Health
879,Food
880,Education
881,Health
882,Finance
883,Politics
884,Education
885,Education
886,Finance
887,Finance
888,Health
889,Fashion
890,Education
891,Technology
892,Finance
893,Education
894,Health
895,Environment
896,Environment
897,Health
898,Health
899,Finance
900,Politics
901,Health
902,Education
903,Health
904,Technology
905,Health
906,Health
907,Food
908,Politics
909,Environment
910,Environment
911,Fashion
912,Food
913,Health
914,Technology
915,Education
916,Technology
917,Health
918,Finance
919,Food
920,Environment
921,Health
922,Food
923,Environment
924,Finance
925,Health
926,Fashion
927,Politics
928,Health
929,Health
930,Health
931,Health
932,Finance
933,Health
934,Health
935,Food
936,Education
937,Health
938,Technology
939,Health
940,Finance
941,Environment
942,Environment
943,Education
944,Health
945,Health
946,Politics
947,Health
948,Education
949,Environment
950,Politics
951,Health
952,Education
953,Technology
954,Finance
955,Food
956,Education
957,Technology
958,Health
959,Fashion
960,Education
961,Technology
962,Education
963,Education
964,Health
965,Environment
966,Education
967,Food
968,Technology
969,Technology
970,Education
971,Health
972,Finance
973,Finance
974,Environment
975,Health
976,Environment
977,Environment
978,Technology
979,Education
980,Finance
981,Technology
982,Health
983,Health
984,Technology
985,Health
986,Fashion
987,Health
988,Finance
989,Health
990,Health
991,Health
992,Fashion
993,Technology
994,Environment
995,Environment
996,Education
997,Food
998,Technology
999,Finance
1000,Technology
1001,Technology
1002,Health
1003,Technology
1004,Technology
1005,Politics
1006,Health
1007,Education
1008,Health
1009,Health
1010,Fashion
1011,Health
1012,Health
1013,Food
1014,Education
1015,Technology
1016,Fashion
1017,Technology
1018,Education
1019,Health
1020,Health
1021,Finance
1022,Environment
1023,Health
1024,Environment
1025,Finance
1026,Health
1027,Fashion
1028,Environment
1029,Environment
1030,Technology
1031,Health
1032,Health
1033,Health
1034,Education
1035,Technology
1036,Environment
1037,Technology
1038,Health
1039,Environment
1040,Technology
1041,Environment
1042,Technology
1043,Fashion
1044,Technology
1045,Technology
1046,Food
1047,Environment
1048,Health
1049,Health
1050,Finance
1051,Health
1052,Finance
1053,Education
1054,Technology
1055,Education
1056,Finance
1057,Fashion
1058,Finance
1059,Technology
1060,Technology
1061,Education
1062,Education
1063,Education
1064,Education
1065,Politics
1066,Technology
1067,Technology
1068,Technology
1069,Education
1070,Food
1071,Education
1072,Technology
1073,Education
1074,Politics
1075,Finance
1076,Technology
1077,Health
1078,Health
1079,Education
1080,Technology
1081,Health
1082,Food
1083,Fashion
1084,Health
1085,Technology
1086,Politics
1087,Education
1088,Education
1089,Health
1090,Politics
1091,Education
1092,Finance
1093,Education
1094,Environment
1095,Politics
1096,Health
1097,Finance
1098,Food
1099,Technology
1100,Education
1101,Health
1102,Food
1103,Education
1104,Education
1105,Finance
1106,Finance
1107,Environment
1108,Technology
1109,Finance
1110,Food
1111,Environment
1112,Finance
1113,Food
1114,Food
1115,Food
1116,Education
1117,Health
1118,Technology
1119,Environment
1120,Technology
1121,Environment
1122,Education
1123,Health
1124,Education
1125,Health
1126,Education
1127,Education
1128,Technology
1129,Finance
1130,Technology
1131,Environment
1132,Finance
1133,Finance
1134,Environment
1135,Health
1136,Finance
1137,Finance
1138,Fashion
1139,Environment
1140,Finance
